,"(x0, x_t0)",success_no_reg,success_reg_derivative,success_reg_derivative_unstable_fp
0,"(0.04925326769782434, 0.5650594817798971)",True,True,True
0,"(-0.5055001634778805, 0.07005653168604971)",False,False,False
0,"(0.2315656821401985, -0.016128611735874272)",False,False,True
0,"(-0.26233512590382746, -0.019932963572017185)",False,True,True
0,"(0.15627730361059894, -0.49240543400570086)",False,False,True
0,"(0.2137282767970145, 0.1927807280439791)",False,True,True
0,"(-0.13279802928583592, 0.22280486360802723)",False,True,False
0,"(-0.24824587580021332, 0.005582398061989663)",False,False,True
0,"(-0.1763815141145915, 0.11429745315769511)",False,False,True
0,"(-0.38597777826681673, 0.06121862752277776)",False,False,False
0,"(-0.19012147216809613, 0.2795611521367082)",False,False,True
0,"(0.3503589761824147, 0.038598101534097595)",False,False,True
0,"(0.25638657494589273, -0.20205840410566162)",False,False,False
0,"(-0.09999342863156672, -0.3812303513538756)",False,True,True
0,"(0.19868032864040483, -0.026751721778157527)",False,True,False
0,"(-0.07352127173986184, 0.1995120336521995)",False,False,True
0,"(-0.010442348861834759, -0.09254302926409326)",False,False,False
0,"(0.28126942704220276, 0.06704930207943426)",False,True,False
0,"(0.4110665660709712, -0.12118715133721217)",False,True,False
0,"(0.049460021774776146, 0.2339085817707907)",False,True,True
0,"(-0.3283736560752996, -0.1681881478771907)",False,True,False
0,"(0.08118788083464758, -0.37675043628385846)",False,True,True
0,"(0.4022621183364314, 0.20521043136808004)",False,True,True
0,"(0.061563848453261814, -0.011468303741770835)",False,False,True
0,"(0.152708019929016, 0.26269735700626395)",False,True,False
0,"(0.22009178802904208, 0.2375223475335458)",False,True,False
0,"(-0.38059773075175013, 0.2207909186171035)",False,True,False
0,"(0.4392542714664428, -0.25317214549706685)",False,True,True
0,"(0.08294249457059735, 0.008562243806192287)",False,True,False
0,"(0.09047291218312979, 0.007814554024496467)",False,False,False
0,"(-0.27201152211958374, -0.12900089396898415)",False,False,False
0,"(-0.12898805276566147, -0.0541781069353047)",False,False,False
0,"(-0.02900741478636961, 0.17879942663127174)",False,True,False
0,"(0.03378106923100466, -0.1735186863556521)",False,True,False
0,"(-0.11481738494964416, -0.2017118660615225)",False,True,False
0,"(-0.27912439824542135, 0.03117284997723243)",False,True,True
0,"(-0.4393169933793862, -0.3806194827586298)",False,True,False
0,"(0.17138031821492106, -0.4388192124055614)",False,True,False
0,"(0.24502505814175563, -0.27004086101484315)",False,True,False
0,"(-0.23845319295637768, -0.2133801417161957)",False,False,True
0,"(0.19410158165173222, -0.004551998333742553)",False,False,True
0,"(0.2670402297529066, -0.22810670295219415)",False,False,True
0,"(-0.14618584281843472, 0.3894834356861731)",False,False,True
0,"(0.3028035235504062, -0.4655510500778072)",False,False,False
0,"(0.4182972416962086, -0.020081159841025813)",False,True,False
0,"(0.05174430414595641, -0.5100626461263866)",False,True,False
0,"(-0.14613217697365086, -0.011668188786221688)",False,False,False
0,"(-0.193398995246125, -0.029364297391999056)",False,True,False
0,"(-0.23457426547747262, 0.45194186406914455)",False,False,True
0,"(-0.01916134947594898, 0.22222083659792224)",False,True,True
0,"(0.5990624668818446, -0.11946437351882985)",False,False,True
0,"(0.5911953270483785, 0.13558446493403128)",False,True,True
0,"(0.058675696356312236, 0.32111700615355293)",False,True,False
0,"(-0.048633186379398306, 0.23957598484940543)",False,False,True
0,"(-0.10175568208175816, -0.013652943903959104)",False,False,True
0,"(0.22808031971893286, 0.2091416044729247)",False,False,True
0,"(0.43011812175175934, -0.46134262083211)",False,False,False
0,"(0.00038457609556954715, -0.7546375463503879)",True,True,True
0,"(0.4833561103667806, 0.1734928440289304)",False,True,True
0,"(0.4524087895214174, 0.147702887946015)",False,True,False
0,"(0.06839411398426398, -0.19646233953116338)",False,False,True
0,"(0.0931528010232734, 0.040644512701148425)",False,False,False
0,"(-0.22359806246554786, 0.13139592438288167)",False,True,False
0,"(0.03510838803174584, 0.17109886377204508)",False,True,True
0,"(0.49664607470038247, -0.14862641351821343)",False,False,False
