,Unnamed: 0,"(theta0, omega0)",converged to,closest fp,stability,success,theta0,omega0,converged to with reg,closest fp with reg,stability with reg,success reg
21,0,"(192.30703148952435, 5.195184545367196)","(0.0017308816313743591, 0.0005544598679989576)","(0.0, 0.0)",unstable,False,192.30703148952435,5.195184545367196,"(-0.00010028034739661962, -0.00019245853764005005)","(0.0, 0.0)",unstable,False
22,0,"(331.1368622504792, 10.949036992976211)","(-0.0013628486776724458, -0.0066467225551605225)","(0.0, 0.0)",unstable,False,331.1368622504792,10.949036992976211,"(-0.0034438632428646088, 0.0036087725311517715)","(0.0, 0.0)",unstable,False
23,0,"(189.92080549294886, 10.625677134122665)","(0.0033296807669103146, 0.006878212094306946)","(0.0, 0.0)",unstable,False,189.92080549294886,10.625677134122665,"(-0.0012594886356964707, -0.00038001147913746536)","(0.0, 0.0)",unstable,False
24,0,"(311.6009426592295, -3.0531930931158673)","(-0.0051488676108419895, -0.008609496057033539)","(0.0, 0.0)",unstable,False,311.6009426592295,-3.0531930931158673,"(0.0056557790376245975, 0.01619884744286537)","(0.0, 0.0)",unstable,False
25,0,"(336.6299536723993, 8.342821351024526)","(-0.007090224418789148, -0.008512372151017189)","(0.0, 0.0)",unstable,False,336.6299536723993,8.342821351024526,"(4.1534007323207334e-05, 0.0009966936195269227)","(0.0, 0.0)",unstable,False
26,0,"(352.947715784623, 12.953257900989135)","(-0.005112447310239077, -0.012648683972656727)","(0.0, 0.0)",unstable,False,352.947715784623,12.953257900989135,"(-0.0013533387100324035, -0.005720805376768112)","(0.0, 0.0)",unstable,False
27,0,"(142.43028967887207, 3.630275811503625)","(0.002920421538874507, -0.0005993087543174624)","(0.0, 0.0)",unstable,False,142.43028967887207,3.630275811503625,"(0.007115989923477173, 0.01741900108754635)","(0.0, 0.0)",unstable,False
28,0,"(131.9857299552978, -1.9277539765581482)","(-0.004956352524459362, 0.0005966912140138447)","(0.0, 0.0)",unstable,False,131.9857299552978,-1.9277539765581482,"(0.002331729279831052, 0.00193594372831285)","(0.0, 0.0)",unstable,False
29,0,"(84.93977754824581, 1.280568649670556)","(-0.003352848347276449, -0.0005453419289551675)","(0.0, 0.0)",unstable,False,84.93977754824581,1.280568649670556,"(0.005123521201312542, 0.013555983081459999)","(0.0, 0.0)",unstable,False
30,0,"(249.07269372350595, -20.870326318829257)","(-0.007626162376254797, -0.00465607363730669)","(0.0, 0.0)",unstable,False,249.07269372350595,-20.870326318829257,"(0.004460881929844618, 0.011860603466629982)","(0.0, 0.0)",unstable,False
31,0,"(102.91815088304163, -3.4614675658626237)","(-0.0018061765003949404, 0.0008322888752445579)","(0.0, 0.0)",unstable,False,102.91815088304163,-3.4614675658626237,"(0.0025197609793394804, 0.007857187651097775)","(0.0, 0.0)",unstable,False
32,0,"(90.68899044738326, 25.680404028154573)","(0.0022547119297087193, 4.874937440035865e-05)","(0.0, 0.0)",unstable,False,90.68899044738326,25.680404028154573,"(-0.0007841974729672074, -0.004282016772776842)","(0.0, 0.0)",unstable,False
33,0,"(128.1081149751161, 12.7943153474636)","(0.0008700519683770835, -0.0013125187251716852)","(0.0, 0.0)",unstable,False,128.1081149751161,12.7943153474636,"(0.00165568885859102, 0.0028034423012286425)","(0.0, 0.0)",unstable,False
34,0,"(302.99709963662787, -10.26295531503099)","(0.0044490983709692955, 0.004060142673552036)","(0.0, 0.0)",unstable,False,302.99709963662787,-10.26295531503099,"(0.004969985689967871, 0.013096262700855732)","(0.0, 0.0)",unstable,False
35,0,"(207.03736331250488, -0.6394069364307811)","(-0.00246651703491807, 0.00028744147857651114)","(0.0, 0.0)",unstable,False,207.03736331250488,-0.6394069364307811,"(-0.0004010438860859722, -0.0013191992184147239)","(0.0, 0.0)",unstable,False
36,0,"(178.55727266479644, 11.920713052691001)","(0.00012423991574905813, 0.0007575870840810239)","(0.0, 0.0)",unstable,False,178.55727266479644,11.920713052691001,"(-0.0011580154532566667, -0.005697904620319605)","(0.0, 0.0)",unstable,False
37,0,"(242.2701288872889, -6.155613541156373)","(0.0030932961963117123, -0.004676150158047676)","(0.0, 0.0)",unstable,False,242.2701288872889,-6.155613541156373,"(0.0019135043257847428, 0.002796864602714777)","(0.0, 0.0)",unstable,False
38,0,"(250.64489704262954, -20.258199122768232)","(-0.003756798105314374, -0.005232991185039282)","(0.0, 0.0)",unstable,False,250.64489704262954,-20.258199122768232,"(0.0069386325776577, 0.006192819681018591)","(0.0, 0.0)",unstable,False
39,0,"(182.13930217420793, 4.914159004078981)","(0.003015700029209256, 1.4294235370471142e-05)","(0.0, 0.0)",unstable,False,182.13930217420793,4.914159004078981,"(0.0039525278843939304, 0.008614388294517994)","(0.0, 0.0)",unstable,False
40,0,"(173.2851664928279, -4.521559573537555)","(-0.0036184177733957767, -1.0028616998170037e-05)","(0.0, 0.0)",unstable,False,173.2851664928279,-4.521559573537555,"(0.002565976930782199, 0.00925281923264265)","(0.0, 0.0)",unstable,False
41,0,"(312.9032960330878, -13.928242005883353)","(0.0034930750261992216, 0.0020859648939222097)","(0.0, 0.0)",unstable,False,312.9032960330878,-13.928242005883353,"(-0.0016218327218666673, -0.006000451277941465)","(0.0, 0.0)",unstable,False
42,0,"(358.05810528485034, 7.8215860208593435)","(-0.0027391016483306885, -0.008156286552548409)","(0.0, 0.0)",unstable,False,358.05810528485034,7.8215860208593435,"(0.000689290463924408, 0.0063146078027784824)","(0.0, 0.0)",unstable,False
43,0,"(232.6311234050743, -8.46546302919364)","(0.0032411343418061733, -0.005706276278942823)","(0.0, 0.0)",unstable,False,232.6311234050743,-8.46546302919364,"(-0.0027551627717912197, -0.010516325011849403)","(0.0, 0.0)",unstable,False
44,0,"(220.31219876418425, 2.257289796366447)","(0.003393565071746707, -0.0018336707726120949)","(0.0, 0.0)",unstable,False,220.31219876418425,2.257289796366447,"(0.0007709473138675094, 0.0008451817557215691)","(0.0, 0.0)",unstable,False
45,0,"(48.14164347867658, 10.37807694664631)","(-0.00353839504532516, -0.0006245947442948818)","(0.0, 0.0)",unstable,False,48.14164347867658,10.37807694664631,"(-0.005576711148023605, -0.003813873277977109)","(0.0, 0.0)",unstable,False
46,0,"(75.04576124987153, 11.301867747477843)","(0.0008233450353145599, 0.0003684830735437572)","(0.0, 0.0)",unstable,False,75.04576124987153,11.301867747477843,"(0.0005010493332520127, -0.009354569017887115)","(0.0, 0.0)",unstable,False
47,0,"(102.55767409877049, -1.1975368215276916)","(0.00041970162419602275, -0.0015398046234622598)","(0.0, 0.0)",unstable,False,102.55767409877049,-1.1975368215276916,"(-0.00016965120448730886, -0.004002905450761318)","(0.0, 0.0)",unstable,False
48,0,"(301.44776307527087, 13.989702575104204)","(-0.004225325770676136, -0.007640947587788105)","(0.0, 0.0)",unstable,False,301.44776307527087,13.989702575104204,"(-0.0031529024709016085, -0.005078018642961979)","(0.0, 0.0)",unstable,False
49,0,"(186.81534906998328, 7.552085677198244)","(9.658261842560023e-05, 0.0002678559103514999)","(0.0, 0.0)",unstable,False,186.81534906998328,7.552085677198244,"(-0.0038777634035795927, -0.008451281115412712)","(0.0, 0.0)",unstable,False
50,0,"(285.60252292472364, -2.1830006490358738)","(-0.0024283204693347216, -0.005006252322345972)","(0.0, 0.0)",unstable,False,285.60252292472364,-2.1830006490358738,"(0.0017557889223098755, 0.007340108510106802)","(0.0, 0.0)",unstable,False
51,0,"(2.923950449429924, 3.376112144195427)","(0.0019832022953778505, 0.006251409649848938)","(0.0, 0.0)",unstable,False,2.923950449429924,3.376112144195427,"(0.000746856618206948, -0.008231963962316513)","(0.0, 0.0)",unstable,False
52,0,"(318.37912145311043, -9.109077902303452)","(6.218328780960292e-05, 0.004106673877686262)","(0.0, 0.0)",unstable,False,318.37912145311043,-9.109077902303452,"(-0.0019769594073295593, -0.007922334596514702)","(0.0, 0.0)",unstable,False
53,0,"(242.87744987413444, -2.4350266497001525)","(0.003558896481990814, -0.002590783406049013)","(0.0, 0.0)",unstable,False,242.87744987413444,-2.4350266497001525,"(-0.003134408500045538, -0.00859692320227623)","(0.0, 0.0)",unstable,False
54,0,"(282.30760176429544, -29.009826233383365)","(-0.0021144680213183165, -0.003292637411504984)","(0.0, 0.0)",unstable,False,282.30760176429544,-29.009826233383365,"(-0.0012988209491595626, -0.010060370899736881)","(0.0, 0.0)",unstable,False
55,0,"(295.95446932963745, 15.646086764423508)","(0.0027598650194704533, 0.00564747117459774)","(0.0, 0.0)",unstable,False,295.95446932963745,15.646086764423508,"(-0.003918091766536236, -0.0075239441357553005)","(0.0, 0.0)",unstable,False
56,0,"(297.7700937471686, -1.290416587041078)","(-0.00047326908679679036, -0.005903474986553192)","(0.0, 0.0)",unstable,False,297.7700937471686,-1.290416587041078,"(-0.0004400394973345101, 0.007323063910007477)","(0.0, 0.0)",unstable,False
57,0,"(165.71750985801572, 2.675944336339016)","(-0.0023474334739148617, 0.0011745046358555555)","(0.0, 0.0)",unstable,False,165.71750985801572,2.675944336339016,"(-0.0027183727361261845, -0.012331227771937847)","(0.0, 0.0)",unstable,False
58,0,"(179.66059519847363, -2.1348767548730825)","(-0.0034483522176742554, -0.001188237452879548)","(0.0, 0.0)",unstable,False,179.66059519847363,-2.1348767548730825,"(0.002548889722675085, 0.005457809194922447)","(0.0, 0.0)",unstable,False
