,"(x0, x_t0)",converged to,closest fp,stability,success
0,"(-0.16481750101182474, 0.15144555705964646)","(1.9888219833374023, 0.13883833587169647)",,,True
0,"(0.1294988031793796, 0.028624943792886767)","(-0.19379585981369019, -2.346646785736084)",,,True
0,"(0.1665221538587982, -0.09366267674385902)","(-1.940471887588501, -0.6315714120864868)",,,True
0,"(0.16624969668463496, -0.12022537140755148)","(-1.9848769903182983, -0.34552305936813354)",,,True
0,"(0.06807303993045907, 0.03244301404345253)","(0.30796635150909424, -1.8454856872558594)",,,True
0,"(0.0028619490021653507, 0.05880458863485725)","(1.9005241394042969, -0.46872854232788086)",,,True
0,"(0.062053403044927125, -0.15050985647205917)","(-1.9813544750213623, 0.2741926908493042)",,,True
0,"(-0.15234575409808065, -0.14893872002050065)","(-0.9506924748420715, 1.2067453861236572)",,,True
0,"(-0.02561825398319853, 0.20314669589270562)","(1.9089940786361694, -0.45465803146362305)",,,True
0,"(-0.0689091416544088, -0.10582137089588667)","(-1.4176654815673828, 0.8422225713729858)",,,True
0,"(0.06214421904144484, 0.006655049158783007)","(-0.03511420264840126, -2.198270797729492)",,,False
0,"(-0.04866425602996421, -0.021104253041972665)","(-0.5029498338699341, 1.6548073291778564)",,,True
0,"(0.14154481689288692, -0.027444677610504772)","(-1.5609350204467773, -1.9558922052383423)",,,True
0,"(0.20175278468993907, 0.17544860930270806)","(0.7946614623069763, -1.3372442722320557)",,,True
0,"(0.07079723327312508, 0.035865778145661775)","(0.45665478706359863, -1.6925665140151978)",,,True
0,"(-0.11359462048728004, 0.09419307383158854)","(1.9698779582977295, 0.3963009715080261)",,,True
0,"(0.11976343755046633, 0.06912388780534344)","(0.4404066205024719, -1.7159900665283203)",,,True
0,"(0.07453354307007203, 0.11502092090644103)","(1.3883216381072998, -0.862820029258728)",,,True
0,"(0.2018296808879268, -0.2328320374140311)","(-2.0216403007507324, 0.08820867538452148)",,,True
0,"(-0.041421499058992194, -0.07023314368387698)","(-1.3952107429504395, 0.8555691838264465)",,,False
