,"(x0, x_t0)",converged to,closest fp,stability,success
0,"(-0.30066958997243654, 1.1670140546108845)","(-0.0624350905418396, -0.040322255343198776)","(0.0, 0.0)",unstable,False
0,"(0.01603235685180968, -2.0285447334387414)","(1.2207785844802856, -0.9808555841445923)",,,True
0,"(-0.35595464989990333, -0.07770204150174276)","(-2.0068469047546387, 0.0290052630007267)",,,True
0,"(-0.8299037906862035, 1.52049974661823)","(-0.05698108673095703, -0.05594169348478317)","(0.0, 0.0)",unstable,False
0,"(-1.063037554754984, -0.9091631704812614)","(0.04195637255907059, 0.01571962609887123)","(0.0, 0.0)",unstable,False
0,"(0.41954612277181247, -0.386266665123391)","(0.020533235743641853, 0.02861095406115055)","(0.0, 0.0)",unstable,False
0,"(-0.8985060894395206, -1.1492546716602796)","(0.06897924840450287, 0.0428488627076149)","(0.0, 0.0)",unstable,False
0,"(1.0299608816130401, -0.6771931916612556)","(0.06190183758735657, 0.0755494087934494)","(0.0, 0.0)",unstable,False
0,"(-0.3357357685381449, -0.28477388434706574)","(-0.5159948468208313, -2.5865395069122314)",,,False
0,"(-1.406484668260691, -0.7865262513995679)","(0.04511943459510803, 0.020495695993304253)","(0.0, 0.0)",unstable,False
0,"(-0.29466563181592975, 0.30980917503466604)","(-0.01248763408511877, -0.01452014409005642)","(0.0, 0.0)",unstable,False
0,"(0.4977578481810373, -0.2071137513546452)","(0.6662266850471497, 2.579704761505127)",,,False
0,"(0.6907912209346717, 0.00024707997449881176)","(1.9792654514312744, -0.297635018825531)",,,True
0,"(-0.952191897109367, 0.5154735625041906)","(-1.8533430099487305, 0.5332503914833069)",,,True
0,"(2.063032337767586, -0.4171993220741171)","(-0.041568562388420105, -0.015801504254341125)","(0.0, 0.0)",unstable,False
0,"(-0.5392403505639751, -0.024106199362211728)","(-1.9773763418197632, 0.29359859228134155)",,,True
0,"(0.7358048392553821, 0.6228980146279529)","(-0.027165573090314865, -0.004480543080717325)","(0.0, 0.0)",unstable,False
0,"(-0.3198911194435242, -0.3317378843557295)","(-0.0011166527401655912, -0.0028050034306943417)","(0.0, 0.0)",unstable,False
0,"(-0.40037721669846843, 0.7850468103459407)","(-0.036068473011255264, -0.022501949220895767)","(0.0, 0.0)",unstable,False
0,"(1.4275101616499704, -0.17980352944277725)","(1.9843380451202393, 0.5907289385795593)",,,True
0,"(-0.8335945753392109, 0.21462347085802186)","(-1.8839880228042603, 0.4600476324558258)",,,True
0,"(0.9888510325524109, 1.3527252795214588)","(-0.23122051358222961, -0.19790701568126678)",,,False
0,"(1.6516022468971219, -0.12905391834904173)","(0.004590404219925404, 0.019826320931315422)","(0.0, 0.0)",unstable,False
0,"(-0.2152324945485653, -0.34589940218772547)","(0.008711932227015495, 0.0034236651845276356)","(0.0, 0.0)",unstable,False
0,"(-0.30417781148232736, 0.284110944936431)","(-0.023539958521723747, -0.04031301662325859)","(0.0, 0.0)",unstable,False
0,"(0.5365108249188577, 0.8646594843847417)","(-0.032546669244766235, -0.016235271468758583)","(0.0, 0.0)",unstable,False
0,"(1.100812618415759, -1.4818934597014435)","(1.7852627038955688, -0.5866143703460693)",,,True
0,"(-0.8609418280610681, 0.7158480487400902)","(-1.7391035556793213, 0.6260588765144348)",,,True
0,"(1.3733579988299083, -2.6648690307601695)","(1.8465179204940796, -0.5364368557929993)",,,True
0,"(0.06665313164997085, 0.42034982841857144)","(-0.015859663486480713, -0.00723571190610528)","(0.0, 0.0)",unstable,False
0,"(-0.23679421470651177, 1.0937625381476719)","(-0.1445634663105011, -0.17387056350708008)",,,False
0,"(-0.9998413312803625, 0.35850147822247935)","(-1.8951085805892944, 0.4535316526889801)",,,True
0,"(-0.8593862275199294, 1.9972128854159077)","(-1.6875896453857422, 0.6693805456161499)",,,True
0,"(-0.16479617430457594, -0.08276812601106946)","(0.0027485608588904142, -0.001279866904951632)","(0.0, 0.0)",unstable,False
0,"(0.0779445861013107, -0.13572468455266753)","(0.005036704242229462, 0.0038565793074667454)","(0.0, 0.0)",unstable,False
0,"(-0.564750504463015, 0.7464102574275793)","(-0.04459638148546219, -0.036505430936813354)","(0.0, 0.0)",unstable,False
0,"(1.2731016203780026, 0.4902381568376343)","(-0.022301852703094482, -0.004748964682221413)","(0.0, 0.0)",unstable,False
0,"(-0.08490375813682673, 1.7626872508309133)","(-1.2158994674682617, 0.9839418530464172)",,,True
0,"(-1.3924617915941595, -1.116408354683498)","(0.07699902355670929, 0.045661669224500656)","(0.0, 0.0)",unstable,False
0,"(0.49150688287787675, 0.4070166977096287)","(-0.007804216351360083, 0.005359227769076824)","(0.0, 0.0)",unstable,False
0,"(-0.9925733805820078, 0.9543415078662154)","(-0.58952796459198, -2.566195011138916)",,,False
0,"(-0.45296815900991305, -0.5906477846222536)","(0.01581692323088646, 0.006000455003231764)","(0.0, 0.0)",unstable,False
0,"(-0.5155630649452326, 1.0601003109115084)","(-0.06904258579015732, -0.06627024710178375)","(0.0, 0.0)",unstable,False
0,"(-1.818773366460344, -0.5218624300324655)","(0.05901941657066345, 0.03498222306370735)","(0.0, 0.0)",unstable,False
0,"(0.5037918365917636, 1.6752345750160555)","(-0.6612126231193542, 1.4789317846298218)",,,True
0,"(0.2921882593923985, -0.4432401565959624)","(0.02231868915259838, 0.018924707546830177)","(0.0, 0.0)",unstable,False
