,"(x0, x_t0)",converged to,closest fp,stability,success
0,"(0.9247990444408988, -1.3438184248047549)","(0.9885687828063965, 2.4380593299865723)",,,False
0,"(0.5366883900348289, 0.26243883829551423)","(1.8412787914276123, 1.1002686023712158)",,,True
0,"(0.4504455562542303, 0.7333322080519055)","(-0.026535768061876297, -0.00819153431802988)","(0.0, 0.0)",unstable,False
0,"(-1.1816114838438692, -0.8280111416962913)","(0.03225531801581383, 0.013713362626731396)","(0.0, 0.0)",unstable,False
0,"(-1.3606836881014541, 0.19633246136543261)","(-2.001131296157837, -0.10256104171276093)",,,True
0,"(0.8390461985165646, -0.6813045511759918)","(1.8208703994750977, -0.4972853660583496)",,,True
0,"(0.665270163475503, 0.8315609297971236)","(0.4257136881351471, 2.5365638732910156)",,,True
0,"(-0.5602864799209947, 0.40184034230326826)","(-1.7113635540008545, 0.6527118682861328)",,,True
0,"(-0.1872628912797577, -0.36550684686797175)","(0.00878171343356371, 0.003992450889199972)","(0.0, 0.0)",unstable,False
0,"(-0.08503198401653403, 0.42554297102855293)","(-0.01457254122942686, -0.00833374448120594)","(0.0, 0.0)",unstable,False
0,"(0.9437889705608996, 0.05260951486098654)","(2.0127296447753906, -0.045698992908000946)",,,True
0,"(-0.12487688190791935, 0.8302546182183526)","(-0.035690825432538986, -0.018351297825574875)","(0.0, 0.0)",unstable,False
0,"(0.2681675146055874, 0.8037151365621175)","(-0.0286491010338068, -0.011732307262718678)","(0.0, 0.0)",unstable,False
0,"(-2.1979895912278886, -0.5723301756784696)","(0.45840558409690857, -1.678484320640564)",,,True
0,"(-1.0995783907127363, 1.7175899474220808)","(-0.16769325733184814, -0.1316365748643875)",,,False
0,"(-0.9788530046618004, -0.18733342312150245)","(-1.9947235584259033, -0.34307661652565)",,,True
0,"(0.041123043368853335, -0.7628400444696416)","(0.025330577045679092, 0.013562279753386974)","(0.0, 0.0)",unstable,False
0,"(-1.7244390860990553, 0.31731819010867224)","(-1.8508672714233398, -1.1098003387451172)",,,True
0,"(-2.12025300252758, -0.004707879060292874)","(0.08062247186899185, 0.04532299190759659)","(0.0, 0.0)",unstable,False
0,"(-1.2708018069379945, 0.19351650886036229)","(-1.9960622787475586, -0.032100923359394073)",,,True
0,"(0.5018904280120284, 0.7728230802388878)","(-0.02583325281739235, -0.014062494039535522)","(0.0, 0.0)",unstable,False
0,"(-1.9889474531558087, 2.0800519994544917)","(-0.01666140928864479, -0.11201594024896622)",,,False
0,"(-0.1157940640664423, 2.428020778493694)","(-1.3630558252334595, 0.8810983896255493)",,,True
0,"(-0.9705297234310607, 0.5596304920386879)","(-0.039115820080041885, -0.03929433599114418)","(0.0, 0.0)",unstable,False
0,"(0.7316188381572464, -1.4985927920192983)","(1.5879993438720703, -0.728651225566864)",,,True
0,"(0.35870665296561327, -1.3214446958881771)","(1.606117606163025, -0.5389059782028198)",,,False
0,"(-0.9423451237719646, -0.33028254775599225)","(0.5918067693710327, -1.172417402267456)",,,False
0,"(0.018105802017801848, -1.2256968206486518)","(1.091336727142334, -1.0827562808990479)",,,True
0,"(0.9446716696726738, 0.4646406780355809)","(1.711066484451294, 1.595471978187561)",,,True
0,"(0.15937618808406215, 0.07392683299392706)","(0.00010242238931823522, 0.009049281477928162)","(0.0, 0.0)",unstable,False
0,"(-2.870987691194412, 0.3583354248418002)","(1.570402979850769, -0.7427139282226562)",,,True
0,"(-0.797570397814734, -0.8678790205397546)","(0.03770105913281441, 0.013804132118821144)","(0.0, 0.0)",unstable,False
0,"(0.7357182336334361, 1.2153044409413805)","(-0.06191736459732056, -0.04039230942726135)","(0.0, 0.0)",unstable,False
0,"(-0.3861675374225095, -0.008772236704635525)","(-0.010532696731388569, -0.013550160452723503)","(0.0, 0.0)",unstable,False
0,"(-0.35609748684474873, -0.48238842325432174)","(0.008612032048404217, 0.0004445688391570002)","(0.0, 0.0)",unstable,False
0,"(-1.8352764722337032, 0.31138712791438977)","(0.025960315018892288, 0.0071103982627391815)","(0.0, 0.0)",unstable,False
0,"(-1.3310291408717145, 0.3847028341681519)","(-1.9978554248809814, 0.18099942803382874)",,,True
0,"(-0.49432569357924444, 1.0039260575376074)","(-0.039130546152591705, -0.025033503770828247)","(0.0, 0.0)",unstable,False
0,"(-0.4078355026618099, 0.5075817116014272)","(-0.02036570943892002, -0.015103286132216454)","(0.0, 0.0)",unstable,False
0,"(-0.2882638308761833, -0.9121273702481897)","(0.030104538425803185, 0.018993094563484192)","(0.0, 0.0)",unstable,False
0,"(0.050192006965717635, 0.2441458489248939)","(-0.006020757369697094, -0.0040700058452785015)","(0.0, 0.0)",unstable,False
0,"(2.7252860838771054, 0.4799370821080083)","(-1.5318630933761597, 0.7661808729171753)",,,True
0,"(1.074397885933044, -0.17205644880087878)","(1.9902801513671875, -0.2494049072265625)",,,True
0,"(-0.4987890806872232, -1.1474653244187538)","(0.10450589656829834, 0.07531265914440155)",,,False
