,"(x0, y0)",converged to,closest fp,stability,success
0,"(-0.3279025723119394, 1.8097824290653322)","(5.841255187988281e-06, 2.0001437664031982)","(0.0, 2.0)",stable,True
0,"(-0.2582760663751329, 1.59206912362347)","(-0.00036560892476700246, 1.999816656112671)","(0.0, 2.0)",stable,True
0,"(0.608458617047584, 1.787156500658607)","(-0.00023192167282104492, 1.9996576309204102)","(0.0, 2.0)",stable,True
0,"(0.3055086676355295, 1.5873910869343217)","(2.6559830075711943e-05, 1.9998143911361694)","(0.0, 2.0)",stable,True
0,"(0.49996519415758217, 2.141887307835632)","(0.00027523637982085347, 2.0002386569976807)","(0.0, 2.0)",stable,True
0,"(0.20316999066775665, 2.4712440615149274)","(-7.160902168834582e-05, 2.0000216960906982)","(0.0, 2.0)",stable,True
0,"(-0.4734899499157165, 1.986544685049625)","(5.710125151381362e-06, 2.0002262592315674)","(0.0, 2.0)",stable,True
0,"(0.25351752844666164, 2.040450389250063)","(1.727938615658786e-05, 1.9999711513519287)","(0.0, 2.0)",stable,True
0,"(0.21634165134364156, 2.0291605667640837)","(-9.28938425204251e-06, 2.0000410079956055)","(0.0, 2.0)",stable,True
0,"(-0.241759622260002, 1.7781905470673744)","(-0.0003200560749974102, 1.9998576641082764)","(0.0, 2.0)",stable,True
0,"(-0.38326348652710485, 2.0888178067644456)","(0.001294636749662459, 2.000835418701172)","(0.0, 2.0)",stable,True
0,"(0.032750442020990755, 2.105845879839665)","(-3.269985245424323e-05, 1.999930739402771)","(0.0, 2.0)",stable,True
0,"(0.3571753470744101, 2.1654344420135607)","(4.800558235729113e-05, 2.000265598297119)","(0.0, 2.0)",stable,True
0,"(0.13546877280876904, 2.173859440664315)","(3.37392084475141e-05, 2.0000033378601074)","(0.0, 2.0)",stable,True
0,"(-0.012738644594149846, 2.169842601792729)","(7.523316890001297e-05, 1.9999383687973022)","(0.0, 2.0)",stable,True
0,"(-0.002360794332678766, 2.1213459760327185)","(-0.0001891090942081064, 1.9998760223388672)","(0.0, 2.0)",stable,True
0,"(2.517005440264263, 0.12827511264114294)","(2.9979963302612305, 0.0008492529159411788)","(3.0, 0.0)",stable,True
0,"(3.2892937183956494, 0.37008605758350094)","(2.9998183250427246, 0.0002920091210398823)","(3.0, 0.0)",stable,True
0,"(2.410638679837981, -0.1881419395146711)","(2.999742031097412, -9.81479897745885e-05)","(3.0, 0.0)",stable,True
0,"(2.5855075574485387, -0.059869685370360304)","(2.999708890914917, 0.00014727190136909485)","(3.0, 0.0)",stable,True
0,"(3.157236782443327, -0.6476481068270145)","(2.998312473297119, -0.0012335419887676835)","(3.0, 0.0)",stable,True
0,"(3.0369768148813243, -0.403504374509337)","(2.999117612838745, -0.0005975067615509033)","(3.0, 0.0)",stable,True
0,"(2.60287922885573, -0.01381261995777892)","(3.000175952911377, -4.7327390348073095e-05)","(3.0, 0.0)",stable,True
0,"(3.1859877041060836, -0.1719311848404255)","(3.00014066696167, 0.00011674165580188856)","(3.0, 0.0)",stable,True
0,"(3.307831257817728, 0.38120229682027146)","(2.999389171600342, -0.0010164737468585372)","(3.0, 0.0)",stable,True
0,"(2.795181317051298, -0.2100960210663818)","(3.0001978874206543, 7.302463200176135e-05)","(3.0, 0.0)",stable,True
0,"(3.4349807565168544, 0.301711241587371)","(2.998749017715454, 6.998181197559461e-05)","(3.0, 0.0)",stable,True
0,"(3.458699083073462, -0.03725546475224959)","(3.0000596046447754, -0.00026591718778945506)","(3.0, 0.0)",stable,True
0,"(3.342555756344674, 0.04240064040702545)","(2.9999747276306152, -3.5417826438788325e-05)","(3.0, 0.0)",stable,True
0,"(2.6858712781309464, 0.2790307450780175)","(2.9999842643737793, -5.851388050359674e-05)","(3.0, 0.0)",stable,True
0,"(2.4763734981012595, 0.05777735902249073)","(2.998394727706909, -2.0060688257217407e-05)","(3.0, 0.0)",stable,True
0,"(2.9485150508161095, 0.058044696621146405)","(3.0000133514404297, -1.9478053218335845e-05)","(3.0, 0.0)",stable,True
0,"(3.137157338989608, 0.16037763021607143)","(2.999946355819702, 5.283653808874078e-05)","(3.0, 0.0)",stable,True
0,"(3.4730933137600988, -0.11701499308011709)","(2.9992496967315674, -3.464669134700671e-05)","(3.0, 0.0)",stable,True
0,"(3.1269751940683563, 0.5801274014069275)","(3.00006103515625, 0.000299239152809605)","(3.0, 0.0)",stable,True
0,"(3.342915536763557, -0.08502878739471942)","(3.0020320415496826, -0.000930176698602736)","(3.0, 0.0)",stable,True
