,"(x0, y0)",success_no_reg,success_reg_derivative_unstable_fp
0,"(0.5521261845321755, 1.067143596748115)",True,True
0,"(0.1049179304747398, -0.9051296263385611)",False,False
0,"(-0.16744636404802055, -0.06755240038223817)",False,False
0,"(0.2904335770729549, 0.088103052691537)",False,True
0,"(1.1204903547514584, -0.9419454048905618)",True,True
0,"(0.03711813699034336, 0.24754965133147402)",False,False
0,"(0.14212336779870036, 0.012571784329806539)",False,False
0,"(0.41394756288841966, -0.262525267185308)",False,True
0,"(0.8036721401299745, 1.0151648052165534)",True,True
0,"(0.49664495210013704, 1.4987352204027142)",True,True
0,"(0.37242593617809705, 1.5032305150263725)",True,True
0,"(0.9933369749968045, -0.01456175069604937)",True,True
0,"(1.4998397798669265, 0.9357442602584268)",True,True
0,"(1.4715548170018369, 1.3534729475989355)",False,True
0,"(1.5011972749264646, 2.350176130917381)",True,True
0,"(0.8956495669983893, 1.2318907062380042)",True,True
0,"(0.5933795153591324, -0.034079257974678256)",False,True
0,"(0.41190971397637044, 0.07635369489253041)",False,True
0,"(1.207333212974675, 1.6961167951394687)",False,True
0,"(0.9140019752532592, 0.6713201103601554)",True,True
0,"(0.9455034418863095, 1.3306766845693727)",True,True
0,"(1.5010107378297457, 1.2255823680721232)",False,False
0,"(0.7775047982267109, 2.031817390537489)",True,True
0,"(0.5536684351418224, 1.4859690541361523)",True,True
0,"(2.3153874695256187, 1.1731728422691607)",True,True
0,"(0.8380520950514664, 0.7263351826192082)",True,True
0,"(1.58100213089644, 1.1379708526081298)",True,True
0,"(2.132953764884401, 1.4511939821581514)",False,False
0,"(1.8288548549120356, 0.763735026265153)",True,True
0,"(1.000036547961279, 0.7986042857711282)",True,True
0,"(0.31370811274558996, 1.6964813275771853)",True,True
0,"(0.7553029900421058, 1.020368091586061)",True,True
0,"(0.8764316741772246, 0.9409292411701384)",False,True
0,"(1.1624685543771867, 0.5485233205601527)",True,True
0,"(0.6767311376440557, 0.835898238377974)",True,True
0,"(1.9539584143412376, 0.4136643306792225)",True,True
0,"(0.880691620584694, 0.5537146557975332)",True,True
0,"(1.0480204149734407, 0.30595325398906736)",True,True
0,"(1.169814137876792, 0.9884796092136664)",True,True
0,"(1.5798295664737592, 0.22757036934809138)",True,True
0,"(1.7815214542707036, 1.096642334196541)",True,True
0,"(1.0510871438424425, 0.866448569425047)",True,True
0,"(1.0150499490121772, 0.5735831086264948)",True,True
0,"(1.8289471981860583, 1.1457317617516747)",True,True
0,"(0.7895048711971673, 0.6159094578759785)",True,True
0,"(0.6070990013940605, 0.7694839953245353)",True,True
0,"(0.574056834347993, 0.8798691113851095)",True,True
0,"(1.483841846277741, 0.5938439672168871)",True,True
0,"(1.0585354505109976, 1.5815434680551657)",True,True
0,"(1.9310582507287033, 1.5691093760267363)",False,False
0,"(0.7715264324409119, 0.3017448013798052)",True,True
0,"(1.0066665186519963, 0.8607433112327465)",True,True
0,"(0.8512239939719699, 0.29614489796262855)",True,True
0,"(1.0058102332304213, -0.24136187941056386)",True,True
0,"(1.0597250142516785, 0.6515706052056527)",True,True
0,"(0.45894290863590526, 1.240467668204916)",True,True
0,"(1.3467652684889455, 0.3191945812338536)",True,True
0,"(0.9540217765146359, 0.7335200019234343)",True,True
