,"(x0, y0)",converged to,closest fp,stability,success
0,"(-0.12110049861123552, 1.4136261182871888)","(6.052851858839858e-06, 1.9994062185287476)","(0.0, 2.0)",stable,True
0,"(0.2654127932857373, 2.3249667132735325)","(-0.00013036132440902293, 1.9998165369033813)","(0.0, 2.0)",stable,True
0,"(-0.5465042871865657, 1.682970715108887)","(-0.00016186237917281687, 1.9996200799942017)","(0.0, 2.0)",stable,True
0,"(-0.4304601106252215, 1.3201152060391166)","(-0.0015147089725360274, 1.9983205795288086)","(0.0, 2.0)",stable,True
0,"(1.0140976950793066, 1.6452608344310118)","(0.9769382476806641, 1.013890027999878)","(1.0, 1.0)",unstable,False
0,"(0.5091811127258825, 1.3123184782238697)","(0.9779585599899292, 1.0161265134811401)","(1.0, 1.0)",unstable,False
0,"(0.8332753235959703, 2.2364788463927203)","(-0.002986311912536621, 0.0030187605880200863)","(0.0, 0.0)",unstable,False
0,"(0.33861665111292777, 2.7854067691915456)","(0.00039730072603560984, 2.0044784545898438)","(0.0, 2.0)",stable,True
0,"(-0.7891499165261943, 1.977574475082708)","(5.1379201977397315e-06, 2.0000197887420654)","(0.0, 2.0)",stable,True
0,"(0.42252921407776944, 2.067417315416772)","(0.001604145742021501, 2.0011188983917236)","(0.0, 2.0)",stable,True
0,"(0.36056941890606925, 2.0486009446068065)","(-0.0010268330806866288, 1.999894142150879)","(0.0, 2.0)",stable,True
0,"(-0.40293270376667, 1.630317578445624)","(0.000164407494594343, 1.9997966289520264)","(0.0, 2.0)",stable,True
0,"(-0.6387724775451747, 2.1480296779407424)","(-9.287595457863063e-05, 2.00005841255188)","(0.0, 2.0)",stable,True
0,"(0.05458407003498459, 2.176409799732775)","(-7.809251837898046e-05, 1.9998725652694702)","(0.0, 2.0)",stable,True
0,"(0.5952922451240169, 2.2757240700226014)","(-0.0006460308795794845, 2.00113844871521)","(0.0, 2.0)",stable,True
0,"(0.22578128801461506, 2.2897657344405253)","(-0.0003419250133447349, 1.9998855590820312)","(0.0, 2.0)",stable,True
0,"(-0.021231074323583076, 2.2830710029878816)","(-0.00014926493167877197, 1.9982515573501587)","(0.0, 2.0)",stable,True
0,"(-0.003934657221131277, 2.2022432933878644)","(0.0001506241096649319, 1.9997800588607788)","(0.0, 2.0)",stable,True
0,"(2.1950090671071054, 0.2137918544019049)","(3.0002951622009277, -0.00014081000699661672)","(3.0, 0.0)",stable,True
0,"(3.4821561973260824, 0.6168100959725016)","(2.998462677001953, -0.00017940998077392578)","(3.0, 0.0)",stable,True
0,"(2.0177311330633017, -0.3135698991911185)","(3.0004067420959473, -0.0003595828893594444)","(3.0, 0.0)",stable,True
0,"(2.309179262414231, -0.09978280895060052)","(3.000196933746338, 0.0005735188606195152)","(3.0, 0.0)",stable,True
0,"(3.2620613040722124, -1.0794135113783574)","(3.0008835792541504, -0.0028708218596875668)","(3.0, 0.0)",stable,True
0,"(3.0616280248022067, -0.672507290848895)","(2.9999313354492188, -0.0002994179667439312)","(3.0, 0.0)",stable,True
0,"(2.3381320480928833, -0.02302103326296487)","(3.0010573863983154, 0.000250551471253857)","(3.0, 0.0)",stable,True
0,"(3.3099795068434723, -0.2865519747340425)","(3.0001630783081055, 0.00032745004864409566)","(3.0, 0.0)",stable,True
0,"(3.5130520963628795, 0.6353371613671192)","(2.996767520904541, -0.0011351347202435136)","(3.0, 0.0)",stable,True
0,"(2.65863552841883, -0.35016003511063637)","(3.0009169578552246, 0.0007271468639373779)","(3.0, 0.0)",stable,True
0,"(3.724967927528091, 0.502852069312285)","(3.001551866531372, 0.0012272477615624666)","(3.0, 0.0)",stable,True
0,"(3.7644984717891035, -0.06209244125374932)","(2.999485492706299, -0.000236966458032839)","(3.0, 0.0)",stable,True
0,"(3.5709262605744563, 0.07066773401170909)","(3.0001461505889893, -0.0002679467143025249)","(3.0, 0.0)",stable,True
0,"(2.4764521302182443, 0.4650512417966959)","(2.999593496322632, -0.00024733543978072703)","(3.0, 0.0)",stable,True
0,"(2.127289163502099, 0.09629559837081789)","(3.001260280609131, -0.000270126765826717)","(3.0, 0.0)",stable,True
0,"(2.9141917513601827, 0.09674116103524401)","(2.99989914894104, 3.628581907832995e-05)","(3.0, 0.0)",stable,True
0,"(3.2285955649826805, 0.26729605036011905)","(2.9977478981018066, -0.0014596462715417147)","(3.0, 0.0)",stable,True
0,"(3.7884888562668313, -0.19502498846686184)","(3.0001509189605713, 1.068711299012648e-05)","(3.0, 0.0)",stable,True
0,"(3.2116253234472607, 0.9668790023448793)","(2.0256998538970947, 0.4051085412502289)",,,False
0,"(3.5715258946059283, -0.1417146456578657)","(3.0003066062927246, -0.0001032173604471609)","(3.0, 0.0)",stable,True
0,"(2.548452068387526, -0.2800437003889839)","(3.002220630645752, -0.00021125674538780004)","(3.0, 0.0)",stable,True
