,"(x0, y0)",converged to,closest fp,stability,success
0,"(0.8166647874134038, 0.9611181201632281)","(0.9890839457511902, 1.0076677799224854)","(1.0, 1.0)",unstable,False
0,"(1.8049284320003554, 2.056476243503042)","(0.7805576920509338, 1.1650450229644775)",,,False
0,"(1.1189227068351135, 0.9747515847593734)","(2.0642964839935303, 0.3805844187736511)",,,False
0,"(0.9168192585776365, 0.9948297950110184)","(0.9838111996650696, 1.011306881904602)","(1.0, 1.0)",unstable,False
0,"(1.0693285273831596, 1.8647628712945086)","(-0.0008102894062176347, -0.001074290252290666)","(0.0, 0.0)",unstable,False
0,"(0.8788995013887645, 0.41362611828718865)","(3.0013856887817383, -0.000758439302444458)","(3.0, 0.0)",stable,True
0,"(1.2654127932857373, 1.3249667132735328)","(0.980065643787384, 1.0123112201690674)","(1.0, 1.0)",unstable,False
0,"(0.45349571281343426, 0.6829707151088871)","(0.9744330644607544, 1.0178951025009155)","(1.0, 1.0)",unstable,False
0,"(0.5695398893747785, 0.3201152060391166)","(0.0030464292503893375, 5.14984139954322e-06)","(0.0, 0.0)",unstable,False
0,"(2.0140976950793066, 0.6452608344310118)","(2.999828815460205, 0.0004512309969868511)","(3.0, 0.0)",stable,True
0,"(1.5091811127258825, 0.3123184782238697)","(3.0009655952453613, 0.00020660161681007594)","(3.0, 0.0)",stable,True
0,"(1.8332753235959705, 1.23647884639272)","(1.0229225158691406, 0.9784948229789734)","(1.0, 1.0)",unstable,False
0,"(1.3386166511129278, 1.7854067691915456)","(-0.004814219661056995, -0.011025523766875267)","(0.0, 0.0)",unstable,False
0,"(0.21085008347380574, 0.9775744750827081)","(0.000600001192651689, 1.9986565113067627)","(0.0, 2.0)",stable,True
0,"(1.4225292140777694, 1.0674173154167723)","(1.0339245796203613, 0.9753292798995972)","(1.0, 1.0)",unstable,False
0,"(1.3605694189060693, 1.0486009446068065)","(2.4707348346710205, 0.1982908546924591)",,,False
0,"(0.59706729623333, 0.6303175784456241)","(2.1832737922668457, 0.3267323970794678)",,,False
0,"(0.36122752245482526, 1.1480296779407424)","(-9.470582153880969e-05, 2.0003178119659424)","(0.0, 2.0)",stable,True
0,"(1.0545840700349847, 1.1764097997327754)","(-0.0038742064498364925, 1.9994256496429443)","(0.0, 2.0)",stable,True
0,"(1.5952922451240168, 1.2757240700226014)","(1.0251801013946533, 0.9829773902893066)","(1.0, 1.0)",unstable,False
0,"(1.225781288014615, 1.2897657344405251)","(0.021036338061094284, 1.950895071029663)","(0.0, 2.0)",stable,False
0,"(0.9787689256764169, 1.2830710029878813)","(0.0005320071941241622, 1.9995973110198975)","(0.0, 2.0)",stable,True
0,"(0.9960653427788687, 1.2022432933878644)","(0.40037432312965393, 1.4938771724700928)",,,False
