,T,y0,network_architectures,activations,learning_rates,collocations,epochs,regularization,reg_epochs,reg_coeff,reg_decay,-1.0,0.0,1.0,mean_loss,loss_successes_percent
0,7.5,0.01,"(2, 20)",swish,0.001,1024,50000,unstable_fp,0.75,1000.0,linear,7,0,13,0.5142127,0.6
0,7.5,0.01,"(2, 20)",swish,0.001,1024,50000,unstable_fp,1.0,0.1,linear,3,0,17,0.21511617,0.8
0,7.5,0.01,"(2, 20)",swish,0.001,1024,50000,unstable_fp,1.0,1.0,linear,10,0,10,0.84902,0.0
0,7.5,0.01,"(2, 20)",swish,0.001,1024,50000,unstable_fp,1.0,10.0,linear,12,0,8,1.1686982,0.0
0,7.5,0.01,"(2, 20)",swish,0.001,1024,50000,unstable_fp,1.0,100.0,linear,11,0,9,1.1744857,0.0
0,7.5,0.01,"(2, 20)",swish,0.001,1024,50000,unstable_fp,1.0,1000.0,linear,10,0,10,1.2061056,0.0
0,7.5,0.01,"(2, 20)",swish,0.001,1024,50000,reg_derivative,0.25,0.1,linear,0,8,6,0.2744562,0.3
0,7.5,0.01,"(2, 20)",swish,0.001,1024,50000,reg_derivative,0.25,1.0,linear,0,9,8,0.24375851,0.4
0,7.5,0.01,"(2, 20)",swish,0.001,1024,50000,reg_derivative,0.25,10.0,linear,0,11,0,0.35599786,0.0
0,7.5,0.01,"(2, 20)",swish,0.001,1024,50000,reg_derivative,0.25,100.0,linear,0,8,0,0.34521353,0.0
0,7.5,0.01,"(2, 20)",swish,0.001,1024,50000,reg_derivative,0.25,1000.0,linear,0,9,1,0.348034,0.0
0,7.5,0.01,"(2, 20)",swish,0.001,1024,50000,reg_derivative,0.5,0.1,linear,0,1,11,0.2080663,0.55
0,7.5,0.01,"(2, 20)",swish,0.001,1024,50000,reg_derivative,0.5,1.0,linear,0,8,7,0.28900278,0.25
0,7.5,0.01,"(2, 20)",swish,0.001,1024,50000,reg_derivative,0.5,10.0,linear,0,8,6,0.25769868,0.3
0,7.5,0.01,"(2, 20)",swish,0.001,1024,50000,reg_derivative,0.5,100.0,linear,0,9,3,0.30518913,0.15
0,7.5,0.01,"(2, 20)",swish,0.001,1024,50000,reg_derivative,0.5,1000.0,linear,0,10,2,0.3161557,0.1
0,7.5,0.01,"(2, 20)",swish,0.001,1024,50000,reg_derivative,0.75,0.1,linear,0,4,6,0.36956525,0.3
0,7.5,0.01,"(2, 20)",swish,0.001,1024,50000,reg_derivative,0.75,1.0,linear,0,1,12,0.25707772,0.4
0,7.5,0.01,"(2, 20)",swish,0.001,1024,50000,reg_derivative,0.75,10.0,linear,0,3,11,0.20286095,0.55
0,7.5,0.01,"(2, 20)",swish,0.001,1024,50000,reg_derivative,0.75,100.0,linear,0,8,4,0.2906913,0.15
0,7.5,0.01,"(2, 20)",swish,0.001,1024,50000,reg_derivative,0.75,1000.0,linear,0,6,0,0.3756659,0.0
0,7.5,0.01,"(2, 20)",swish,0.001,1024,50000,reg_derivative,1.0,0.1,linear,14,0,6,0.81966317,0.2
0,7.5,0.01,"(2, 20)",swish,0.001,1024,50000,reg_derivative,1.0,1.0,linear,7,0,13,0.48035836,0.0
0,7.5,0.01,"(2, 20)",swish,0.001,1024,50000,reg_derivative,1.0,10.0,linear,11,0,9,0.8617109,0.35
0,7.5,0.01,"(2, 20)",swish,0.001,1024,50000,reg_derivative,1.0,100.0,linear,10,0,10,0.74872535,0.0
0,7.5,0.01,"(2, 20)",swish,0.001,1024,50000,reg_derivative,1.0,1000.0,linear,9,0,11,0.7022936,0.0
0,7.5,0.01,"(2, 20)",swish,0.001,1024,50000,reg_derivative_unstable_fp,0.25,0.1,linear,0,7,12,0.16350068,0.55
0,7.5,0.01,"(2, 20)",swish,0.001,1024,50000,reg_derivative_unstable_fp,0.25,1.0,linear,0,6,14,0.12873381,0.55
0,7.5,0.01,"(2, 20)",swish,0.001,1024,50000,reg_derivative_unstable_fp,0.25,10.0,linear,0,5,13,0.12618293,0.65
0,7.5,0.01,"(2, 20)",swish,0.001,1024,50000,reg_derivative_unstable_fp,0.25,100.0,linear,0,11,8,0.23160005,0.4
0,7.5,0.01,"(2, 20)",swish,0.001,1024,50000,reg_derivative_unstable_fp,0.25,1000.0,linear,0,10,10,0.1928314,0.5
0,7.5,0.01,"(2, 20)",swish,0.001,1024,50000,reg_derivative_unstable_fp,0.5,0.1,linear,0,10,9,0.22483066,0.45
0,7.5,0.01,"(2, 20)",swish,0.001,1024,50000,reg_derivative_unstable_fp,0.5,1.0,linear,0,9,10,0.19804363,0.5
0,7.5,0.01,"(2, 20)",swish,0.001,1024,50000,reg_derivative_unstable_fp,0.5,10.0,linear,0,8,11,0.18380359,0.55
0,7.5,0.01,"(2, 20)",swish,0.001,1024,50000,reg_derivative_unstable_fp,0.5,100.0,linear,0,6,13,0.13750286,0.65
0,7.5,0.01,"(2, 20)",swish,0.001,1024,50000,reg_derivative_unstable_fp,0.5,1000.0,linear,0,8,9,0.21504112,0.45
0,7.5,0.01,"(2, 20)",swish,0.001,1024,50000,reg_derivative_unstable_fp,0.75,0.1,linear,0,9,8,0.27270618,0.4
0,7.5,0.01,"(2, 20)",swish,0.001,1024,50000,reg_derivative_unstable_fp,0.75,1.0,linear,0,6,9,0.22511902,0.45
0,7.5,0.01,"(2, 20)",swish,0.001,1024,50000,reg_derivative_unstable_fp,0.75,10.0,linear,0,4,8,0.26229614,0.4
0,7.5,0.01,"(2, 20)",swish,0.001,1024,50000,reg_derivative_unstable_fp,0.75,100.0,linear,0,5,11,0.19612949,0.55
0,7.5,0.01,"(2, 20)",swish,0.001,1024,50000,reg_derivative_unstable_fp,0.75,1000.0,linear,1,4,9,0.28822353,0.45
0,7.5,0.01,"(2, 20)",swish,0.001,1024,50000,reg_derivative_unstable_fp,1.0,0.1,linear,14,0,6,1.0355306,0.3
0,7.5,0.01,"(2, 20)",swish,0.001,1024,50000,reg_derivative_unstable_fp,1.0,1.0,linear,13,0,7,1.0929234,0.0
0,7.5,0.01,"(2, 20)",swish,0.001,1024,50000,reg_derivative_unstable_fp,1.0,10.0,linear,9,0,11,0.8448432,0.0
0,7.5,0.01,"(2, 20)",swish,0.001,1024,50000,reg_derivative_unstable_fp,1.0,100.0,linear,11,0,9,1.0873891,0.0
0,7.5,0.01,"(2, 20)",swish,0.001,1024,50000,reg_derivative_unstable_fp,1.0,1000.0,linear,10,0,10,1.0361356,0.0
0,7.5,0.1,"(2, 20)",swish,0.001,1024,50000,unstable_fp,0.25,0.1,linear,0,0,20,2.2081956e-07,1.0
0,7.5,0.1,"(2, 20)",swish,0.001,1024,50000,unstable_fp,0.25,1.0,linear,0,0,19,0.026968146,0.95
0,7.5,0.1,"(2, 20)",swish,0.001,1024,50000,unstable_fp,0.25,10.0,linear,0,1,18,0.06257473,0.9
0,7.5,0.1,"(2, 20)",swish,0.001,1024,50000,unstable_fp,0.25,100.0,linear,0,0,19,0.032699905,0.95
0,7.5,0.1,"(2, 20)",swish,0.001,1024,50000,unstable_fp,0.25,1000.0,linear,0,0,20,9.912721e-07,1.0
0,7.5,0.1,"(2, 20)",swish,0.001,1024,50000,unstable_fp,0.5,0.1,linear,0,0,20,1.8428968e-07,1.0
0,7.5,0.1,"(2, 20)",swish,0.001,1024,50000,unstable_fp,0.5,1.0,linear,0,2,18,0.06833785,0.9
0,7.5,0.1,"(2, 20)",swish,0.001,1024,50000,unstable_fp,0.5,10.0,linear,0,0,19,0.027825683,0.95
0,7.5,0.1,"(2, 20)",swish,0.001,1024,50000,unstable_fp,0.5,100.0,linear,0,0,20,2.0344021e-07,1.0
0,7.5,0.1,"(2, 20)",swish,0.001,1024,50000,unstable_fp,0.5,1000.0,linear,0,0,20,3.7792756e-06,1.0
0,7.5,0.1,"(2, 20)",swish,0.001,1024,50000,unstable_fp,0.75,0.1,linear,0,0,20,2.1914484e-07,1.0
0,7.5,0.1,"(2, 20)",swish,0.001,1024,50000,unstable_fp,0.75,1.0,linear,0,1,19,0.0342803,0.95
0,7.5,0.1,"(2, 20)",swish,0.001,1024,50000,unstable_fp,0.75,10.0,linear,0,0,20,4.292794e-07,1.0
0,7.5,0.1,"(2, 20)",swish,0.001,1024,50000,unstable_fp,0.75,100.0,linear,0,0,20,1.7703142e-06,1.0
0,7.5,0.1,"(2, 20)",swish,0.001,1024,50000,unstable_fp,0.75,1000.0,linear,1,0,19,0.061885405,0.95
0,7.5,0.1,"(2, 20)",swish,0.001,1024,50000,unstable_fp,1.0,0.1,linear,0,0,20,5.3706725e-07,1.0
0,7.5,0.1,"(2, 20)",swish,0.001,1024,50000,unstable_fp,1.0,1.0,linear,1,0,19,0.092178464,0.95
0,7.5,0.1,"(2, 20)",swish,0.001,1024,50000,unstable_fp,1.0,10.0,linear,0,0,20,0.0004945463,1.0
0,7.5,0.1,"(2, 20)",swish,0.001,1024,50000,unstable_fp,1.0,100.0,linear,0,0,20,0.006355852,1.0
0,7.5,0.1,"(2, 20)",swish,0.001,1024,50000,unstable_fp,1.0,1000.0,linear,0,0,20,0.039421923,0.0
0,7.5,0.1,"(2, 20)",swish,0.001,1024,50000,reg_derivative,0.25,0.1,linear,0,2,4,0.43452114,0.2
0,7.5,0.1,"(2, 20)",swish,0.001,1024,50000,reg_derivative,0.25,1.0,linear,0,4,9,0.33052453,0.45
0,7.5,0.1,"(2, 20)",swish,0.001,1024,50000,reg_derivative,0.25,10.0,linear,0,10,8,0.39551705,0.4
0,7.5,0.1,"(2, 20)",swish,0.001,1024,50000,reg_derivative,0.25,100.0,linear,0,11,8,0.3989873,0.4
0,7.5,0.1,"(2, 20)",swish,0.001,1024,50000,reg_derivative,0.25,1000.0,linear,0,10,9,0.36734724,0.45
0,7.5,0.1,"(2, 20)",swish,0.001,1024,50000,reg_derivative,0.5,0.1,linear,0,1,3,0.47646102,0.1
0,7.5,0.1,"(2, 20)",swish,0.001,1024,50000,reg_derivative,0.5,1.0,linear,0,8,8,0.38531813,0.4
0,7.5,0.1,"(2, 20)",swish,0.001,1024,50000,reg_derivative,0.5,10.0,linear,0,6,14,0.20361157,0.7
0,7.5,0.1,"(2, 20)",swish,0.001,1024,50000,reg_derivative,0.5,100.0,linear,0,8,12,0.2727553,0.6
0,7.5,0.1,"(2, 20)",swish,0.001,1024,50000,reg_derivative,0.5,1000.0,linear,0,10,9,0.36374554,0.45
0,7.5,0.1,"(2, 20)",swish,0.001,1024,50000,reg_derivative,0.75,0.1,linear,0,11,0,0.62038344,0.0
0,7.5,0.1,"(2, 20)",swish,0.001,1024,50000,reg_derivative,0.75,1.0,linear,0,12,7,0.45232326,0.35
0,7.5,0.1,"(2, 20)",swish,0.001,1024,50000,reg_derivative,0.75,10.0,linear,0,7,10,0.34871903,0.5
0,7.5,0.1,"(2, 20)",swish,0.001,1024,50000,reg_derivative,0.75,100.0,linear,0,5,14,0.21618073,0.65
0,7.5,0.1,"(2, 20)",swish,0.001,1024,50000,reg_derivative,0.75,1000.0,linear,0,5,11,0.3205174,0.55
0,7.5,0.1,"(2, 20)",swish,0.001,1024,50000,reg_derivative,1.0,0.1,linear,6,0,0,1.1746975,0.0
0,7.5,0.1,"(2, 20)",swish,0.001,1024,50000,reg_derivative,1.0,1.0,linear,13,0,7,0.997532,0.25
0,7.5,0.1,"(2, 20)",swish,0.001,1024,50000,reg_derivative,1.0,10.0,linear,15,0,5,1.3660966,0.15
0,7.5,0.1,"(2, 20)",swish,0.001,1024,50000,reg_derivative,1.0,100.0,linear,12,0,8,1.0967643,0.0
0,7.5,0.1,"(2, 20)",swish,0.001,1024,50000,reg_derivative,1.0,1000.0,linear,11,0,9,1.1025816,0.0
0,7.5,0.1,"(2, 20)",swish,0.001,1024,50000,reg_derivative_unstable_fp,0.25,0.1,linear,0,11,6,0.45652595,0.3
0,7.5,0.1,"(2, 20)",swish,0.001,1024,50000,reg_derivative_unstable_fp,0.25,1.0,linear,0,3,15,0.15093596,0.75
0,7.5,0.1,"(2, 20)",swish,0.001,1024,50000,reg_derivative_unstable_fp,0.25,10.0,linear,0,1,17,0.085518695,0.85
0,7.5,0.1,"(2, 20)",swish,0.001,1024,50000,reg_derivative_unstable_fp,0.25,100.0,linear,0,2,14,0.18598002,0.65
0,7.5,0.1,"(2, 20)",swish,0.001,1024,50000,reg_derivative_unstable_fp,0.25,1000.0,linear,0,4,15,0.19662058,0.65
0,7.5,0.1,"(2, 20)",swish,0.001,1024,50000,reg_derivative_unstable_fp,0.5,0.1,linear,0,12,8,0.41189542,0.4
0,7.5,0.1,"(2, 20)",swish,0.001,1024,50000,reg_derivative_unstable_fp,0.5,1.0,linear,0,6,14,0.2052865,0.7
0,7.5,0.1,"(2, 20)",swish,0.001,1024,50000,reg_derivative_unstable_fp,0.5,10.0,linear,0,2,15,0.15226334,0.75
0,7.5,0.1,"(2, 20)",swish,0.001,1024,50000,reg_derivative_unstable_fp,0.5,100.0,linear,0,2,17,0.096011564,0.85
0,7.5,0.1,"(2, 20)",swish,0.001,1024,50000,reg_derivative_unstable_fp,0.5,1000.0,linear,0,1,16,0.12052357,0.8
0,7.5,0.1,"(2, 20)",swish,0.001,1024,50000,reg_derivative_unstable_fp,0.75,0.1,linear,0,15,4,0.54757595,0.2
0,7.5,0.1,"(2, 20)",swish,0.001,1024,50000,reg_derivative_unstable_fp,0.75,1.0,linear,0,4,15,0.16431259,0.75
0,7.5,0.1,"(2, 20)",swish,0.001,1024,50000,reg_derivative_unstable_fp,0.75,10.0,linear,0,3,15,0.16713598,0.75
0,7.5,0.1,"(2, 20)",swish,0.001,1024,50000,reg_derivative_unstable_fp,0.75,100.0,linear,0,4,14,0.19619948,0.7
0,7.5,0.1,"(2, 20)",swish,0.001,1024,50000,reg_derivative_unstable_fp,0.75,1000.0,linear,0,2,16,0.121669665,0.8
0,7.5,0.1,"(2, 20)",swish,0.001,1024,50000,reg_derivative_unstable_fp,1.0,0.1,linear,13,0,4,1.0514514,0.2
0,7.5,0.1,"(2, 20)",swish,0.001,1024,50000,reg_derivative_unstable_fp,1.0,1.0,linear,11,0,9,0.97693413,0.45
0,7.5,0.1,"(2, 20)",swish,0.001,1024,50000,reg_derivative_unstable_fp,1.0,10.0,linear,6,0,14,0.6464672,0.7
0,7.5,0.1,"(2, 20)",swish,0.001,1024,50000,reg_derivative_unstable_fp,1.0,100.0,linear,3,0,17,0.35786635,0.85
0,7.5,0.1,"(2, 20)",swish,0.001,1024,50000,reg_derivative_unstable_fp,1.0,1000.0,linear,5,0,15,0.63217,0.75
0,10.0,0.001,"(2, 20)",swish,0.001,1024,50000,unstable_fp,0.25,0.1,linear,5,4,11,0.32723865,0.45
0,10.0,0.001,"(2, 20)",swish,0.001,1024,50000,unstable_fp,0.25,1.0,linear,10,0,10,0.55985725,0.5
0,10.0,0.001,"(2, 20)",swish,0.001,1024,50000,unstable_fp,0.25,10.0,linear,9,0,11,0.5575205,0.25
0,10.0,0.001,"(2, 20)",swish,0.001,1024,50000,unstable_fp,0.25,100.0,linear,6,0,14,0.38059047,0.3
0,10.0,0.001,"(2, 20)",swish,0.001,1024,50000,unstable_fp,0.25,1000.0,linear,12,0,8,0.81637114,0.0
0,10.0,0.001,"(2, 20)",swish,0.001,1024,50000,unstable_fp,0.5,0.1,linear,9,0,11,0.55706704,0.35
0,10.0,0.001,"(2, 20)",swish,0.001,1024,50000,unstable_fp,0.5,1.0,linear,11,0,9,0.69135725,0.25
0,10.0,0.001,"(2, 20)",swish,0.001,1024,50000,unstable_fp,0.5,10.0,linear,6,0,14,0.40939912,0.2
0,10.0,0.001,"(2, 20)",swish,0.001,1024,50000,unstable_fp,0.5,100.0,linear,5,0,15,0.3821747,0.0
0,10.0,0.001,"(2, 20)",swish,0.001,1024,50000,unstable_fp,0.5,1000.0,linear,10,0,10,0.8107114,0.0
0,10.0,0.001,"(2, 20)",swish,0.001,1024,50000,unstable_fp,0.75,0.1,linear,12,0,8,0.7955318,0.0
0,10.0,0.001,"(2, 20)",swish,0.001,1024,50000,unstable_fp,0.75,1.0,linear,8,0,12,0.5715415,0.0
0,10.0,0.001,"(2, 20)",swish,0.001,1024,50000,unstable_fp,0.75,10.0,linear,12,0,8,0.8461038,0.05
0,10.0,0.001,"(2, 20)",swish,0.001,1024,50000,unstable_fp,0.75,100.0,linear,9,0,11,0.7216284,0.0
0,10.0,0.001,"(2, 20)",swish,0.001,1024,50000,unstable_fp,0.75,1000.0,linear,11,0,9,0.92240065,0.0
0,10.0,0.001,"(2, 20)",swish,0.001,1024,50000,unstable_fp,1.0,0.1,linear,8,0,12,0.71744335,0.0
0,10.0,0.001,"(2, 20)",swish,0.001,1024,50000,unstable_fp,1.0,1.0,linear,10,0,10,0.92257893,0.0
0,10.0,0.001,"(2, 20)",swish,0.001,1024,50000,unstable_fp,1.0,10.0,linear,9,0,11,0.9425948,0.0
0,10.0,0.001,"(2, 20)",swish,0.001,1024,50000,unstable_fp,1.0,100.0,linear,9,0,11,1.0159018,0.0
0,10.0,0.001,"(2, 20)",swish,0.001,1024,50000,unstable_fp,1.0,1000.0,linear,9,0,11,1.0979205,0.0
0,10.0,0.001,"(2, 20)",swish,0.001,1024,50000,reg_derivative,0.25,0.1,linear,3,0,5,0.34687808,0.0
0,10.0,0.001,"(2, 20)",swish,0.001,1024,50000,reg_derivative,0.25,1.0,linear,2,0,4,0.30742496,0.15
0,10.0,0.001,"(2, 20)",swish,0.001,1024,50000,reg_derivative,0.25,10.0,linear,1,0,0,0.37191847,0.0
0,10.0,0.001,"(2, 20)",swish,0.001,1024,50000,reg_derivative,0.25,100.0,linear,4,0,3,0.43565387,0.0
